date,prix_pompe
2026-04-21,179.3
2026-04-22,180.4
2026-04-23,187.1
2026-04-24,186.3
2026-04-25,181.2
2026-04-26,183.0
2026-04-27,185.9
2026-04-28,184.2
2026-04-29,185.7
2026-04-30,187.5
2026-05-01,190.6
2026-05-02,190.5
2026-05-03,190.8
2026-05-04,190.6
2026-05-05,191.9
2026-05-06,193.5
2026-05-07,195.2
2026-05-08,194.0
2026-05-09,193.4
2026-05-10,193.6
2026-05-11,193.6
2026-05-12,194.2
2026-05-13,195.0
2026-05-14,196.0
2026-05-15,195.5
2026-05-16,195.1
2026-05-17,195.3
2026-05-18,195.3
2026-05-19,196.4
2026-05-20,197.8
2026-05-21,197.5
2026-05-22,194.8
2026-05-23,193.2
2026-05-24,193.4
2026-05-25,193.0
2026-05-26,192.2
2026-05-27,191.3
2026-05-28,188.0
2026-05-29,185.3
2026-05-30,184.4
2026-05-31,183.6
2026-06-01,183.0
2026-06-02,182.0
2026-06-03,183.0
2026-06-04,183.4
2026-06-05,182.5
2026-06-06,181.3
2026-06-07,180.9
2026-06-08,180.5
2026-06-09,180.3
2026-06-10,180.4
2026-06-11,179.6
2026-06-12,179.0
2026-06-13,178.4
2026-06-14,177.9
2026-06-15,177.6
2026-06-16,177.0
2026-06-17,175.0
2026-06-18,173.6
2026-06-19,173.1
2026-06-20,173.4
2026-06-21,173.4
2026-06-22,173.3
2026-06-23,173.6
2026-06-24,173.4
2026-06-25,172.8
2026-06-26,171.8
2026-06-27,172.6
2026-06-28,171.9
2026-06-29,171.8
2026-06-30,172.4
2026-07-01,173.8
2026-07-02,173.0
2026-07-03,172.6
2026-07-04,172.5
2026-07-05,172.5
2026-07-06,172.3
2026-07-07,173.6
2026-07-08,175.2
2026-07-09,175.0
2026-07-10,178.1
2026-07-11,177.4
2026-07-12,176.7
2026-07-13,176.3
2026-07-14,178.0
2026-07-15,181.7
2026-07-16,182.1
2026-07-17,182.5
2026-07-18,183.6
2026-07-19,184.1
2026-07-20,184.2
2026-07-21,187.8
2026-07-22,189.4
2026-07-23,189.6
2026-07-24,189.8
2026-07-25,190.4
2026-07-26,189.7
2026-07-27,189.5
2026-07-28,189.3
2026-07-29,188.9
2026-07-30,188.5
2026-07-31,188.5
2026-08-01,186.9
2026-08-02,186.2
2026-08-03,185.8
2026-08-04,184.9
2026-08-05,184.1
2026-08-06,180.6
2026-08-07,178.7
2026-08-08,177.7
2026-08-09,177.8
2026-08-10,177.2
2026-08-11,177.2
2026-08-12,178.8
2026-08-13,178.8
2026-08-14,178.6
2026-08-15,178.3
2026-08-16,178.6
2026-08-17,178.7
2026-08-18,179.3
2026-08-19,181.1
2026-08-20,181.2
2026-08-21,180.8
2026-08-22,180.9
2026-08-23,181.7
2026-08-24,181.5
2026-08-25,181.9
2026-08-26,183.9
2026-08-27,183.6
2026-08-28,183.6
2026-08-29,184.4
2026-08-30,185.2
2026-08-31,185.8
2026-09-01,191.6
2026-09-02,195.2
2026-09-03,195.2
2026-09-04,194.4
2026-09-05,194.1
2026-09-06,194.8
