date,region,prix
2026-05-08,Abitibi-Témiscamingue,197.5
2026-05-08,Bas-Saint-Laurent,195.5
2026-05-08,Capitale-Nationale,195.0
2026-05-08,Centre-du-Québec,193.5
2026-05-08,Chaudière-Appalaches,194.5
2026-05-08,Côte-Nord,190.4
2026-05-08,Estrie,195.2
2026-05-08,Gaspésie-Îles-de-la-Madeleine,197.5
2026-05-08,Lanaudière,192.5
2026-05-08,Laurentides,194.1
2026-05-08,Laval,195.4
2026-05-08,Mauricie,194.0
2026-05-08,Montérégie,193.2
2026-05-08,Montréal,196.0
2026-05-08,Municipalités hors MRC \ CMM,195.9
2026-05-08,Nord-du-Québec,200.4
2026-05-08,Outaouais,196.6
2026-05-08,Saguenay-Lac-Saint-Jean,182.7
2026-05-09,Abitibi-Témiscamingue,197.6
2026-05-09,Bas-Saint-Laurent,195.3
2026-05-09,Capitale-Nationale,194.7
2026-05-09,Centre-du-Québec,192.7
2026-05-09,Chaudière-Appalaches,194.4
2026-05-09,Côte-Nord,190.4
2026-05-09,Estrie,194.8
2026-05-09,Gaspésie-Îles-de-la-Madeleine,196.7
2026-05-09,Lanaudière,192.2
2026-05-09,Laurentides,193.8
2026-05-09,Laval,194.9
2026-05-09,Mauricie,193.7
2026-05-09,Montérégie,192.7
2026-05-09,Montréal,195.3
2026-05-09,Municipalités hors MRC \ CMM,194.9
2026-05-09,Nord-du-Québec,200.4
2026-05-09,Outaouais,196.4
2026-05-09,Saguenay-Lac-Saint-Jean,181.9
