date,prix_pompe,saison
2016-01-04,103.8,0
2016-01-11,102.1,0
2016-01-18,101.1,0
2016-01-25,96.6,0
2016-02-01,98.1,0
2016-02-08,94.6,0
2016-02-15,94.8,0
2016-02-22,92.3,0
2016-02-29,91.9,0
2016-03-07,95.7,0
2016-03-14,97.1,0
2016-03-21,101.5,0
2016-03-28,102.3,0
2016-04-04,99.9,0
2016-04-11,107.4,0
2016-04-18,105.5,0
2016-04-25,105.0,0
2016-05-02,106.5,0
2016-05-09,104.9,0
2016-05-16,108.0,0
2016-05-23,109.6,0
2016-05-30,109.4,0
2016-06-06,111.7,1
2016-06-13,108.5,1
2016-06-20,108.6,1
2016-06-27,106.3,1
2016-07-04,106.9,1
2016-07-11,104.8,1
2016-07-18,101.6,1
2016-07-25,102.8,1
2016-08-01,101.9,1
2016-08-08,103.9,1
2016-08-15,103.6,1
2016-08-22,107.0,1
2016-08-29,106.2,1
2016-09-05,105.4,0
2016-09-12,104.5,0
2016-09-19,108.5,0
2016-09-26,107.6,0
2016-10-03,109.8,0
2016-10-10,111.5,0
2016-10-17,111.2,0
2016-10-24,112.5,0
2016-10-31,109.4,0
2016-11-07,111.0,0
2016-11-14,106.2,0
2016-11-21,105.8,0
2016-11-28,108.0,0
2016-12-05,110.7,0
2016-12-12,109.8,0
2016-12-19,112.1,0
2016-12-26,110.7,0
2017-01-02,114.0,0
2017-01-09,114.5,0
2017-01-16,112.8,0
2017-01-23,112.9,0
2017-01-30,109.7,0
2017-02-06,109.1,0
2017-02-13,109.4,0
2017-02-20,109.6,0
2017-02-27,110.5,0
2017-03-06,108.7,0
2017-03-13,109.7,0
2017-03-20,109.4,0
2017-03-27,111.0,0
2017-04-03,113.2,0
2017-04-10,116.6,0
2017-04-17,121.6,0
2017-04-24,119.0,0
2017-05-01,117.3,0
2017-05-08,112.9,0
2017-05-15,115.2,0
2017-05-22,117.1,0
2017-05-29,117.6,0
2017-06-05,113.8,1
2017-06-12,111.9,1
2017-06-19,110.7,1
2017-06-26,109.8,1
2017-07-03,109.1,1
2017-07-10,109.1,1
2017-07-17,110.7,1
2017-07-24,109.7,1
2017-07-31,112.2,1
2017-08-07,114.9,1
2017-08-14,112.1,1
2017-08-21,111.5,1
2017-08-28,114.3,1
2017-09-04,125.9,0
2017-09-11,123.7,0
2017-09-18,119.0,0
2017-09-25,118.8,0
2017-10-02,115.7,0
2017-10-09,114.8,0
2017-10-16,115.8,0
2017-10-23,117.0,0
2017-10-30,119.3,0
2017-11-06,124.3,0
2017-11-13,122.3,0
2017-11-20,120.7,0
2017-11-27,121.3,0
2017-12-04,120.4,0
2017-12-11,119.8,0
2017-12-18,118.6,0
2017-12-25,119.9,0
2018-01-01,120.5,0
2018-01-08,120.5,0
2018-01-15,121.4,0
2018-01-22,125.0,0
2018-01-29,125.6,0
2018-02-05,124.6,0
2018-02-12,121.9,0
2018-02-19,120.8,0
2018-02-26,124.7,0
2018-03-05,123.6,0
2018-03-12,123.9,0
2018-03-19,125.4,0
2018-03-26,130.6,0
2018-04-02,130.5,0
2018-04-09,129.8,0
2018-04-16,132.8,0
2018-04-23,136.6,0
2018-04-30,137.1,0
2018-05-07,136.3,0
2018-05-14,138.2,0
2018-05-21,138.9,0
2018-05-28,137.6,0
2018-06-04,136.9,1
2018-06-11,136.8,1
2018-06-18,134.0,1
2018-06-25,133.3,1
2018-07-02,136.0,1
2018-07-09,134.7,1
2018-07-16,134.0,1
2018-07-23,130.2,1
2018-07-30,135.5,1
2018-08-06,134.4,1
2018-08-13,133.3,1
2018-08-20,131.7,1
2018-08-27,136.0,1
2018-09-03,136.0,0
2018-09-10,137.5,0
2018-09-17,131.7,0
2018-09-24,133.2,0
2018-10-01,133.9,0
2018-10-08,133.8,0
2018-10-15,130.1,0
2018-10-22,126.7,0
2018-10-29,123.9,0
2018-11-05,122.0,0
2018-11-12,119.3,0
2018-11-19,116.1,0
2018-11-26,112.5,0
2018-12-03,111.2,0
2018-12-10,111.3,0
2018-12-17,111.8,0
2018-12-24,109.7,0
2018-12-31,108.5,0
2019-01-07,108.3,0
2019-01-14,110.0,0
2019-01-21,110.1,0
2019-01-28,108.6,0
2019-02-04,107.4,0
2019-02-11,107.1,0
2019-02-18,113.4,0
2019-02-25,113.7,0
2019-03-04,117.5,0
2019-03-11,119.3,0
2019-03-18,125.4,0
2019-03-25,126.0,0
2019-04-01,125.4,0
2019-04-08,127.3,0
2019-04-15,131.5,0
2019-04-22,136.0,0
2019-04-29,138.8,0
2019-05-06,136.6,0
2019-05-13,134.0,0
2019-05-20,134.4,0
2019-05-27,132.1,0
2019-06-03,128.5,1
2019-06-10,124.8,1
2019-06-17,123.4,1
2019-06-24,125.0,1
2019-07-01,129.4,1
2019-07-08,130.0,1
2019-07-15,131.2,1
2019-07-22,128.4,1
2019-07-29,128.0,1
2019-08-05,127.0,1
2019-08-12,121.8,1
2019-08-19,120.9,1
2019-08-26,120.2,1
2019-09-02,120.0,0
2019-09-09,120.6,0
2019-09-16,122.2,0
2019-09-23,121.1,0
2019-09-30,120.2,0
2019-10-07,119.3,0
2019-10-14,120.2,0
2019-10-21,119.2,0
2019-10-28,119.8,0
2019-11-04,119.7,0
2019-11-11,118.5,0
2019-11-18,118.5,0
2019-11-25,119.8,0
2019-12-02,118.6,0
2019-12-09,119.3,0
2019-12-16,119.1,0
2019-12-23,119.8,0
2019-12-30,119.5,0
2020-01-06,120.5,0
2020-01-13,119.1,0
2020-01-20,118.5,0
2020-01-27,116.2,0
2020-02-03,115.8,0
2020-02-10,116.3,0
2020-02-17,117.0,0
2020-02-24,118.8,0
2020-03-02,115.7,0
2020-03-09,111.0,0
2020-03-16,96.6,0
2020-03-23,87.2,0
2020-03-30,83.4,0
2020-04-06,82.8,0
2020-04-13,82.9,0
2020-04-20,84.5,0
2020-04-27,85.1,0
2020-05-04,88.5,0
2020-05-11,93.4,0
2020-05-18,93.4,0
2020-05-25,98.3,0
2020-06-01,97.8,1
2020-06-08,100.9,1
2020-06-15,102.2,1
2020-06-22,106.4,1
2020-06-29,105.8,1
2020-07-06,106.7,1
2020-07-13,108.0,1
2020-07-20,107.4,1
2020-07-27,107.3,1
2020-08-03,106.0,1
2020-08-10,106.1,1
2020-08-17,106.1,1
2020-08-24,107.7,1
2020-08-31,107.9,1
2020-09-07,106.3,0
2020-09-14,104.2,0
2020-09-21,104.5,0
2020-09-28,104.9,0
2020-10-05,104.1,0
2020-10-12,103.9,0
2020-10-19,103.4,0
2020-10-26,102.4,0
2020-11-02,101.4,0
2020-11-09,101.8,0
2020-11-16,103.1,0
2020-11-23,103.6,0
2020-11-30,104.7,0
2020-12-07,104.0,0
2020-12-14,105.8,0
2020-12-21,107.1,0
2020-12-28,107.8,0
2021-01-04,108.0,0
2021-01-11,113.1,0
2021-01-18,114.1,0
2021-01-25,114.4,0
2021-02-01,115.5,0
2021-02-08,117.7,0
2021-02-15,118.7,0
2021-02-22,122.3,0
2021-03-01,125.5,0
2021-03-08,126.0,0
2021-03-15,127.2,0
2021-03-22,125.4,0
2021-03-29,125.1,0
2021-04-05,124.7,0
2021-04-12,124.1,0
2021-04-19,126.1,0
2021-04-26,125.8,0
2021-05-03,128.5,0
2021-05-10,130.4,0
2021-05-17,130.4,0
2021-05-24,129.5,0
2021-05-31,130.4,0
2021-06-07,131.4,1
2021-06-14,131.8,1
2021-06-21,131.6,1
2021-06-28,132.7,1
2021-07-05,133.2,1
2021-07-12,133.6,1
2021-07-19,135.6,1
